Date,Location,Blood Type,Donations,Usage,Population,Event,Temperature,Supply,Donate,Use,Supplied
01/01/2023,Nairobi,A+,6,3,378391,Disaster,18.7,1,60000,30000,10000
01/01/2023,Nairobi,A-,7,5,315560,Campaign,31.4,1,70000,50000,10000
01/01/2023,Nairobi,B+,7,2,397663,Disaster,24.7,6,70000,20000,60000
01/01/2023,Nairobi,B-,5,3,267924,Holiday,18.7,3,50000,30000,30000
01/01/2023,Nairobi,AB+,5,5,315286,,19.3,-2,50000,50000,20000
01/01/2023,Nairobi,AB-,4,4,334530,Disaster,30.9,2,40000,40000,20000
01/01/2023,Nairobi,O+,3,3,340867,Holiday,33.5,-2,30000,30000,20000
01/01/2023,Nairobi,O-,7,7,162137,,31.5,2,70000,70000,20000
01/01/2023,Mombasa,A+,1,5,476399,Holiday,26.6,-3,10000,50000,30000
01/01/2023,Mombasa,A-,5,9,405472,Disaster,19.7,-2,50000,90000,20000
01/01/2023,Mombasa,B+,2,2,393149,Disaster,15.8,0,20000,20000,0
01/01/2023,Mombasa,B-,6,4,337658,,15.4,3,60000,40000,30000
01/01/2023,Mombasa,AB+,9,1,128469,Holiday,18,8,90000,10000,80000
01/01/2023,Mombasa,AB-,4,2,446379,Holiday,30.7,1,40000,20000,10000
01/01/2023,Mombasa,O+,7,1,350499,Campaign,29,4,70000,10000,40000
01/01/2023,Mombasa,O-,8,3,198139,Campaign,24.2,3,80000,30000,30000
01/01/2023,Kisumu,A+,4,1,181925,Holiday,15.8,4,40000,10000,40000
01/01/2023,Kisumu,A-,5,4,471107,Holiday,31.7,-1,50000,40000,10000
01/01/2023,Kisumu,B+,8,2,373584,Campaign,31.7,5,80000,20000,50000
01/01/2023,Kisumu,B-,7,3,152220,Disaster,29.2,2,70000,30000,20000
01/01/2023,Kisumu,AB+,3,4,486133,,30.2,-4,30000,40000,40000
01/01/2023,Kisumu,AB-,5,2,139228,Campaign,17.1,1,50000,20000,10000
01/01/2023,Kisumu,O+,8,4,219149,Holiday,28.2,6,80000,40000,60000
01/01/2023,Kisumu,O-,8,2,209831,Campaign,30.9,5,80000,20000,50000
01/01/2023,Nakuru,A+,4,6,321413,Holiday,20.8,0,40000,60000,0
01/01/2023,Nakuru,A-,6,2,119782,,18.9,4,60000,20000,40000
01/01/2023,Nakuru,B+,4,3,478435,Campaign,34.3,0,40000,30000,0
01/01/2023,Nakuru,B-,7,2,448896,Disaster,21.3,2,70000,20000,20000
01/01/2023,Nakuru,AB+,2,4,316938,Holiday,25.1,-2,20000,40000,20000
01/01/2023,Nakuru,AB-,6,5,383760,Campaign,28.6,1,60000,50000,10000
01/01/2023,Nakuru,O+,10,6,111627,Holiday,21.7,2,100000,60000,20000
01/01/2023,Nakuru,O-,2,5,449879,Campaign,25.8,-6,20000,50000,60000
01/01/2023,Eldoret,A+,3,1,258801,Holiday,29.8,3,30000,10000,30000
01/01/2023,Eldoret,A-,2,2,199936,Campaign,25.8,-2,20000,20000,20000
01/01/2023,Eldoret,B+,4,2,160932,Disaster,22.7,1,40000,20000,10000
01/01/2023,Eldoret,B-,6,1,450241,,21.4,7,60000,10000,70000
01/01/2023,Eldoret,AB+,6,1,134436,,20.6,3,60000,10000,30000
01/01/2023,Eldoret,AB-,3,1,251279,,33.9,1,30000,10000,10000
01/01/2023,Eldoret,O+,6,3,389929,Holiday,17.3,3,60000,30000,30000
01/01/2023,Eldoret,O-,4,3,104257,,15.5,1,40000,30000,10000
02/01/2023,Nairobi,A+,4,1,191116,Campaign,25.3,3,40000,10000,30000
02/01/2023,Nairobi,A-,4,3,251876,,26.9,0,40000,30000,0
02/01/2023,Nairobi,B+,2,3,122363,Holiday,28.4,-1,20000,30000,10000
02/01/2023,Nairobi,B-,3,2,486157,Campaign,29.8,-2,30000,20000,20000
02/01/2023,Nairobi,AB+,7,4,322278,,25.3,1,70000,40000,10000
02/01/2023,Nairobi,AB-,8,7,370746,Disaster,27.3,2,80000,70000,20000
02/01/2023,Nairobi,O+,6,5,436331,Disaster,34.1,3,60000,50000,30000
02/01/2023,Nairobi,O-,8,2,307310,Disaster,33.9,4,80000,20000,40000
02/01/2023,Mombasa,A+,9,2,412117,Disaster,28,9,90000,20000,90000
02/01/2023,Mombasa,A-,2,5,175897,Campaign,17.6,-1,20000,50000,10000
02/01/2023,Mombasa,B+,8,7,281630,Holiday,17.4,2,80000,70000,20000
02/01/2023,Mombasa,B-,8,1,485087,Disaster,15.1,7,80000,10000,70000
02/01/2023,Mombasa,AB+,5,5,134462,Campaign,23.4,0,50000,50000,0
02/01/2023,Mombasa,AB-,4,2,445651,Disaster,16.9,3,40000,20000,30000
02/01/2023,Mombasa,O+,8,5,207888,Holiday,27,0,80000,50000,0
02/01/2023,Mombasa,O-,6,3,185560,,19.5,5,60000,30000,50000
02/01/2023,Kisumu,A+,7,7,179374,,17.8,0,70000,70000,0
02/01/2023,Kisumu,A-,3,5,263172,,28.4,-3,30000,50000,30000
02/01/2023,Kisumu,B+,2,1,126034,,17.2,-2,20000,10000,20000
02/01/2023,Kisumu,B-,6,5,313151,Disaster,21.9,-2,60000,50000,20000
